Date,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
3-Sep,,,,,,,1791125
18-Sep,,,2365555,2517345,1852409,1035194,2686537
3-Oct,3073325,2645349,3991247,4020645,2933565,1907518,3846463
18-Oct,4663876,4374982,5984486,5044194,4440263,2688385,5208339
3-Nov,6465600,6948381,8134404,7706331,6097465,3452382,6257019
18-Nov,8019613,8780543,9358553,8671596,6857518,4027376,6852823
3-Dec,8631933,9778451,10132074,9366938,7447544,4648092,7168118
18-Dec,9034118,10147941,10685981,9962657,7861203,5057424,7274239
1-Jan,9279105,10366703,11108719,10273866,8139491,5370553,7347404
15-Jan,9475729,10535922,11334725,10456925,8338026,5493138,
3-Feb,9612711,10634627,11432874,10605746,8487104,5571666,
18-Feb,9687118,10745254,11485741,10700996,8547977,5616623,
3-Mar,9727771,10707181,11524581,10741381,8565376,5637749,
18-Mar,9748518,10722245,11552252,10762644,8571261,5643525,
3-Apr,9762144,10725737,11571196,10772306,,5645295,
18-Apr,9768443,10727182,11579181,10775162,,,
1-May,,,11581934,10777712,,5645967,
18-May,,,,10777818,,,
