date,category,Exports_US$,volume,unit_price
1/1/2019,Raw Cotton,389000,230,1.69
1/1/2019,Cotton Yarn,86615000,33789,2.56340821
1/1/2019,Cotton Cloth,181369000,135975000,
1/1/2019,Cotton Crd/Cmd,0,0,
1/1/2019,Non-Cotton Yarn,3013000,1241,
1/1/2019,Knitwear,248785000,12261000,20.29075932
1/1/2019,Bedwear,193329000,30861,6.264508603
1/1/2019,Towels,68432000,15699,4.359003758
1/1/2019,"Tents, Tarpaulines",7433000,2569,
1/1/2019,Garments,256534000,4789000,53.56734183
1/1/2019,Artificial Silk & Synthetics,25736000,17855,
1/1/2019,Madeups (excl. towels & bedwear),62734000,0,
1/1/2019,Other Textiles,33909000,0,
2/1/2019,Raw Cotton,835000,527,
2/1/2019,Cotton Yarn,108759000,43231,2.515764151
2/1/2019,Cotton Cloth,176642000,163513000,
2/1/2019,Cotton Crd/Cmd,0,0,
2/1/2019,Non-Cotton Yarn,2170000,816,
2/1/2019,Knitwear,214773000,9946000,21.5939071
2/1/2019,Bedwear,175424000,28758,6.100006955
2/1/2019,Towels,70246000,15952,4.403585757
2/1/2019,"Tents, Tarpaulines",6399000,2411,
2/1/2019,Garments,225534000,4189000,53.83957985
2/1/2019,Artificial Silk & Synthetics,23159000,15649,
2/1/2019,Madeups (excl. towels & bedwear),56059000,0,
2/1/2019,Other Textiles,29075000,0,
3/1/2019,Raw Cotton,437000,307,
3/1/2019,Cotton Yarn,91920000,36258,2.535164653
3/1/2019,Cotton Cloth,185575000,198638000,
3/1/2019,Cotton Crd/Cmd,53000,56,
3/1/2019,Non-Cotton Yarn,2611000,961,
3/1/2019,Knitwear,215428000,9879000,21.80666059
3/1/2019,Bedwear,189407000,30740,6.161581002
3/1/2019,Towels,71405000,16174,4.414801533
3/1/2019,"Tents, Tarpaulines",5152000,1876,
3/1/2019,Garments,214263000,4100000,52.25926829
3/1/2019,Artificial Silk & Synthetics,23867000,17495,
3/1/2019,Madeups (excl. towels & bedwear),56852000,0,
3/1/2019,Other Textiles,31222000,0,
4/1/2019,Raw Cotton,2834000,1701,
4/1/2019,Cotton Yarn,105615000,41492,2.545430444
4/1/2019,Cotton Cloth,178558000,210067000,
4/1/2019,Cotton Crd/Cmd,0,0,
4/1/2019,Non-Cotton Yarn,3734000,1346,
4/1/2019,Knitwear,241219000,11390000,21.17813872
4/1/2019,Bedwear,180869000,30212,5.986660929
4/1/2019,Towels,70679000,16634,4.249068174
4/1/2019,"Tents, Tarpaulines",4789000,1988,
4/1/2019,Garments,231184000,4474000,51.67277604
4/1/2019,Artificial Silk & Synthetics,28619000,26933,
4/1/2019,Madeups (excl. towels & bedwear),57743000,0,
4/1/2019,Other Textiles,32510000,0,
5/1/2019,Raw Cotton,326000,207,
5/1/2019,Cotton Yarn,106750000,42065,2.537739213
5/1/2019,Cotton Cloth,167755000,198179000,
5/1/2019,Cotton Crd/Cmd,0,0,
5/1/2019,Non-Cotton Yarn,4269000,1684,
5/1/2019,Knitwear,273832000,12830000,21.3431021
5/1/2019,Bedwear,187669000,32397,5.792789456
5/1/2019,Towels,72551000,16975,4.273991163
5/1/2019,"Tents, Tarpaulines",4436000,1889,
5/1/2019,Garments,252432000,5036000,50.12549643
5/1/2019,Artificial Silk & Synthetics,23832000,23227,
5/1/2019,Madeups (excl. towels & bedwear),58674000,0,
5/1/2019,Other Textiles,33233000,0,
6/1/2019,Raw Cotton,1517000,1202,
6/1/2019,Cotton Yarn,77335000,30397,2.544165543
6/1/2019,Cotton Cloth,159567000,201793000,
6/1/2019,Cotton Crd/Cmd,91000,127,
6/1/2019,Non-Cotton Yarn,3274000,1299,
6/1/2019,Knitwear,230214000,8536000,26.96977507
6/1/2019,Bedwear,173880000,36434,4.77246528
6/1/2019,Towels,54790000,12335,4.441832185
6/1/2019,"Tents, Tarpaulines",4917000,2100,
6/1/2019,Garments,214076000,4809000,44.51569973
6/1/2019,Artificial Silk & Synthetics,24178000,38253,
6/1/2019,Madeups (excl. towels & bedwear),44573000,0,
6/1/2019,Other Textiles,25884000,0,
7/1/2019,Raw Cotton,4142000,2660,
7/1/2019,Cotton Yarn,97433000,39180,2.486804492
7/1/2019,Cotton Cloth,147677000,168755000,
7/1/2019,Cotton Crd/Cmd,0,0,
7/1/2019,Non-Cotton Yarn,3406000,1372,
7/1/2019,Knitwear,262159000,9938000,26.37945261
7/1/2019,Bedwear,194089000,41103,4.722015425
7/1/2019,Towels,64104000,14575,4.398216123
7/1/2019,"Tents, Tarpaulines",4692000,1960,
7/1/2019,Garments,232327000,5260000,44.16863118
7/1/2019,Artificial Silk & Synthetics,24900000,32418,
7/1/2019,Madeups (excl. towels & bedwear),48244000,0,
7/1/2019,Other Textiles,29292000,0,
8/1/2019,Raw Cotton,4158000,2677,
8/1/2019,Cotton Yarn,112283000,42717,2.628531966
8/1/2019,Cotton Cloth,177050000,202890000,
8/1/2019,Cotton Crd/Cmd,30000,24,
8/1/2019,Non-Cotton Yarn,1510000,1488,
8/1/2019,Knitwear,278224000,10793000,25.77818957
8/1/2019,Bedwear,206356000,45725,4.51297977
8/1/2019,Towels,61502000,14072,4.370523024
8/1/2019,"Tents, Tarpaulines",5595000,2112,
8/1/2019,Garments,235310000,5176000,45.46174652
8/1/2019,Artificial Silk & Synthetics,27124000,32882,
