Year,Month,month_no,Commodity,Exports_US$,exports_us$_thousands
2019,Jan,1,Raw cotton," 389,000 ",389
2019,Jan,1,Cotton Yarn," 86,615,000 ",86615
2019,Jan,1,Cotton Cloth," 181,369,000 ",181369
2019,Jan,1,Ctn Crd/Cmd, -   ,0
2019,Jan,1,Non-cotton Yarn," 3,013,000 ",3013
2019,Jan,1,Knitwear," 248,785,000 ",248785
2019,Jan,1,Bedwear," 193,329,000 ",193329
2019,Jan,1,Towels," 68,432,000 ",68432
2019,Jan,1,"Tents, Tarpaulines"," 7,433,000 ",7433
2019,Jan,1,Garments," 256,534,000 ",256534
2019,Jan,1,Art. Silk & Synth," 25,736,000 ",25736
2019,Jan,1,Madeups (excl. twl & Bdwr)," 62,734,000 ",62734
2019,Jan,1,Other Textiles," 33,909,000 ",33909
2019,Jan,1,Total Textile & Clothing," 1,168,278,000 ",1168278
2019,Feb,2,Raw cotton," 835,000 ",835
2019,Feb,2,Cotton Yarn," 108,759,000 ",108759
2019,Feb,2,Cotton Cloth," 176,642,000 ",176642
2019,Feb,2,Ctn Crd/Cmd, -   ,0
2019,Feb,2,Non-cotton Yarn," 2,170,000 ",2170
2019,Feb,2,Knitwear," 214,773,000 ",214773
2019,Feb,2,Bedwear," 175,424,000 ",175424
2019,Feb,2,Towels," 70,246,000 ",70246
2019,Feb,2,"Tents, Tarpaulines"," 6,399,000 ",6399
2019,Feb,2,Garments," 225,534,000 ",225534
2019,Feb,2,Art. Silk & Synth," 23,159,000 ",23159
2019,Feb,2,Madeups (excl. twl & Bdwr)," 56,059,000 ",56059
2019,Feb,2,Other Textiles," 29,075,000 ",29075
2019,Feb,2,Total Textile & Clothing," 1,089,075,000 ",1089075
2019,Mar,3,Raw cotton," 437,000 ",437
2019,Mar,3,Cotton Yarn," 91,920,000 ",91920
2019,Mar,3,Cotton Cloth," 185,575,000 ",185575
2019,Mar,3,Ctn Crd/Cmd," 53,000 ",53
2019,Mar,3,Non-cotton Yarn," 2,611,000 ",2611
2019,Mar,3,Knitwear," 215,428,000 ",215428
2019,Mar,3,Bedwear," 189,407,000 ",189407
2019,Mar,3,Towels," 71,405,000 ",71405
2019,Mar,3,"Tents, Tarpaulines"," 5,152,000 ",5152
2019,Mar,3,Garments," 214,263,000 ",214263
2019,Mar,3,Art. Silk & Synth," 23,867,000 ",23867
2019,Mar,3,Madeups (excl. twl & Bdwr)," 56,852,000 ",56852
2019,Mar,3,Other Textiles," 31,222,000 ",31222
2019,Mar,3,Total Textile & Clothing," 1,088,192,000 ",1088192
2019,Apr,4,Raw cotton," 2,834,000 ",2834
2019,Apr,4,Cotton Yarn," 105,615,000 ",105615
2019,Apr,4,Cotton Cloth," 178,558,000 ",178558
2019,Apr,4,Ctn Crd/Cmd, -   ,0
2019,Apr,4,Non-cotton Yarn," 3,734,000 ",3734
2019,Apr,4,Knitwear," 241,219,000 ",241219
2019,Apr,4,Bedwear," 180,869,000 ",180869
2019,Apr,4,Towels," 70,679,000 ",70679
2019,Apr,4,"Tents, Tarpaulines"," 4,789,000 ",4789
2019,Apr,4,Garments," 231,184,000 ",231184
2019,Apr,4,Art. Silk & Synth," 28,619,000 ",28619
2019,Apr,4,Madeups (excl. twl & Bdwr)," 57,743,000 ",57743
2019,Apr,4,Other Textiles," 32,510,000 ",32510
2019,Apr,4,Total Textile & Clothing," 1,138,353,000 ",1138353
2019,May,5,Raw cotton," 326,000 ",326
2019,May,5,Cotton Yarn," 106,750,000 ",106750
2019,May,5,Cotton Cloth," 167,755,000 ",167755
2019,May,5,Ctn Crd/Cmd, -   ,0
2019,May,5,Non-cotton Yarn," 4,269,000 ",4269
2019,May,5,Knitwear," 273,832,000 ",273832
2019,May,5,Bedwear," 187,669,000 ",187669
2019,May,5,Towels," 72,551,000 ",72551
2019,May,5,"Tents, Tarpaulines"," 4,436,000 ",4436
2019,May,5,Garments," 252,432,000 ",252432
2019,May,5,Art. Silk & Synth," 23,832,000 ",23832
2019,May,5,Madeups (excl. twl & Bdwr)," 58,674,000 ",58674
2019,May,5,Other Textiles," 33,233,000 ",33233
2019,May,5,Total Textile & Clothing," 1,185,759,000 ",1185759
2019,Jun,6,Raw cotton," 1,517,000 ",1517
2019,Jun,6,Cotton Yarn," 77,335,000 ",77335
2019,Jun,6,Cotton Cloth," 159,567,000 ",159567
2019,Jun,6,Ctn Crd/Cmd," 91,000 ",91
2019,Jun,6,Non-cotton Yarn," 3,274,000 ",3274
2019,Jun,6,Knitwear," 230,214,000 ",230214
2019,Jun,6,Bedwear," 173,880,000 ",173880
2019,Jun,6,Towels," 54,790,000 ",54790
2019,Jun,6,"Tents, Tarpaulines"," 4,917,000 ",4917
2019,Jun,6,Garments," 214,076,000 ",214076
2019,Jun,6,Art. Silk & Synth," 24,178,000 ",24178
